Key,Type,Desc,English,Spanish,Portuguese,German,French,Russian,Japanese,Korean,Vietnamese,Thai,Indonesian,Simplified Chinese
play_btn,,,PLAY,JUGAR,JOGAR,SPIELEN,JOUER,ИГРАТЬ,プレイ,플레이,CHƠI,เล่น,MAIN,玩
unlock_btn,,,UNLOCK,DESBLOQUEAR,DESBLOQUEAR,FREISCHALTEN,DÉBLOQUER,РАЗБЛОКИРОВАТЬ,アンロック,잠금 해제,MỞ KHÓA,ปลดล็อก,BUKA KUNCI,解锁
claim_btn,,,CLAIM,RECLAMAR,RECLAMAR,ANFORDERN,RÉCLAMER,ПОЛУЧИТЬ,受け取る,받다,NHẬN,รับ,AMBIL,领取
get_it_btn,,,GET IT,ENTENDIDO,ENTENDI,VERSTANDEN,COMPRIS,ПОНЯЛ,わかりました,알겠습니다,HIỂU RỒI,เข้าใจแล้ว,MENGERTI,明白了
get_it_shop,,,GET IT,COMPRAR,PEGUE-O,KAUFEN,ACHETER,КУПИТЬ,手に入れる,이걸 구입해,MUA NGAY,เอาเลย,DAPATKAN,得到它
reconnect_btn,,,RECONNECT,RECONECTAR,RECONEXÃO,WIEDERVERBINDEN,RECONNECTER,ПЕРЕПОДКЛЮЧИТЬ,再接続,재연결,KẾT NỐI LẠI,เชื่อมต่ออีกครั้ง,SAMBUNGKAN KEMBALI,重新连接
setting_btn,,,SETTING,AJUSTES,CONFIG,EINSTELL,PARAMÈTRES,НАСТРОЙКИ,設定,설정,CÀI ĐẶT,ตั้งค่า,PENGATURAN,设置
skin_btn,,,SKIN,PIEL,SKIN,SKIN,SKIN,ОБЛИЧИЕ,スキン,스킨,SKIN,สกิน,SKIN,皮肤
chapter_btn,,,CHAPTER,CAPÍTULO,CAPÍTULO,KAPITEL,CHAPITRE,ГЛАВА,チャプター,챕터,CHƯƠNG,บท,BAB,章节
home_btn,,,HOME,INICIO,INÍCIO,STARTSEITE,ACCUEIL,ГЛАВНАЯ,ホーム,홈,TRANG CHỦ,หน้าแรก,HALAMAN UTAMA,主页
triple_btn,,,TRIPLE,TRIPLE,TRIPLO,DREIFACH,TRIPLE,ТРОЙНОЙ,トリプル,트리플,GẤP BA,ทริปเปิ้ล,TRIPLE,三重
no_thanks_btn,,,"No, thanks","No, gracias","Não, obrigado","Nein, danke","Non, merci","Нет, спасибо",いいえ、ありがとう,"아니요, 감사합니다","Thôi, để sau","ไม่, ขอบคุณ","Tidak, terima kasih",不，谢谢
jump_btn,,,Jump,Saltar,Pular,Springen,Sauter,Прыгать,ジャンプ,점프,Nhảy,กระโดด,Melompat,跳跃
grab_btn,,,Grab,Agarrar,Pegar,Greifen,Prendre,Взять,掴む,집다,Cầm lên,หยิบ,Ambil,拿
push_btn,,,Push,Empujar,Empurrar,Schieben,Pousser,Толкать,押す,밀다,Đẩy,ผลัก,Dorong,推
replay_btn,,,REPLAY,REPETIR,REPETIR,WIEDERHOLEN,REJOUER,ПОВТОРИТЬ,リプレイ,다시하기,CHƠI LẠI,เล่นซ้ำ,MAINKAN ULANG,重播
skip_btn,,,SKIP,SALTAR,PULAR,ÜBERGEHEN,PASSER,ПРОПУСК,スキップ,건너뛰기,BỎ QUA,ข้าม,LEWATI,跳过
got_it_btn,,,GOT IT,ENTENDIDO,ENTENDI,VERSTANDEN,COMPRIS,ПОНЯЛ,わかりました,알겠습니다,HIỂU RỒI,เข้าใจแล้ว,MENGERTI,明白了
free_btn,,,FREE,GRATIS,GRÁTIS,KOSTENLOS,GRATUIT,БЕСПЛАТНО,無料,무료,MIỄN PHÍ,ฟรี,GRATIS,免费
select_btn,,,SELECT,SELECCIONAR,SELECIONAR,AUSWÄHLEN,SÉLECTIONNER,ВЫБРАТЬ,選択,선택,CHỌN,เลือก,PILIH,选择
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
notify_success,,,Successfully,Exitoso,Bem-sucedido,Erfolgreich,Réussi,Успешно,成功,성공,Thành công,สำเร็จ,Berhasil,成功
notify_fail,,,Failure,Fracaso,Falha,Fehler,Échec,Неудача,失敗,실패,Thất bại,ความล้มเหลว,Gagal,失败
notify_main_quest,,,QUEST COMPLETED,MISIÓN COMPLETADA,MISSÃO CONCLUÍDA,ABGESCHLOSSEN,QUÊTE TERMINÉE,ЗАДАЧА ЗАВЕРШЕНА,クエスト完了,퀘스트 완료,Hoàn thành,ทำภารกิจเสร็จแล้ว,Misi Selesai,任务完成
notify_reach_level,,,Reach level:,Alcanzar el nivel:,Alcançar o nível:,Erreiche Level:,Atteindre le niveau :,Достигните уровень:,レベルに到達:,레벨에 도달:,Đạt cấp độ:,ถึงระดับ:,Mencapai Level:,达到等级：
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
chapter,,,Chapter {[CHAPTERID]},Capítulo {[CHAPTERID]},Capítulo {[CHAPTERID]},Kapitel {[CHAPTERID]},Chapitre {[CHAPTERID]},Глава {[CHAPTERID]},チャプター {[CHAPTERID]},챕터 {[CHAPTERID]},Chương {[CHAPTERID]},บท {[CHAPTERID]},Bab {[CHAPTERID]},章节 {[CHAPTERID]}
chapter_name_1,,,Join the chaos,Únete al caos,Junte-se ao caos,Tritt dem Chaos bei,Rejoindre le chaos,Присоединиться к хаосу,混乱に参加,혼란에 합류,Tham gia hỗn loạn,เข้าร่วมความยุ่งเหยิง,Bergabung dalam Kekacauan,加入混乱
